name,Last Name,phone,Email,message,,,score
سامي,بن عمر,21620975894,samibenomar926@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,18
ليلى,الطرابلسي,21633293192,leilatrabelsi108@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,15
خالد,الهمامي,21682403043,khaledhammami284@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,16
نور,العبيدي,21630538206,nourobaidi396@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,15
أيمن,الشماري,21659328819,aymenchammari271@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,12
سعاد,الغرياني,21638336606,souadghraiani807@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,12.5
حسام,بن سالم,21675030295,houssembensalem822@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,14
رانيا,الكعبي,21683665132,raniakaabi658@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,18
بشير,المجدي,21692379231,bachirmejdi533@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,12
نهى,درويش,21631940156,nohadarwish466@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,17
فادي,زيتون,21631012769,fadizitoun911@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,18
منى,العلوي,21691271194,monaalaoui392@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,14
وسيم,شرف الدين,21640050005,wassimcharfeddine426@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,14
سهى,حمدي,21622595550,sohahamdi211@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,18
نادر,رجب,21627532806,naderrajab611@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,14
جميلة,صالح,21643471757,jamilasaleh205@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,15
طلال,موسى,21694447950,talelmoussa283@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,16
هدى,قروي,21645487841,houdakaroui283@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,16
يزن,بن فرج,21653875753,yazenbenfaraj681@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,15
أمل,جابر,21662868410,amaljaber988@gmail.com,مرحبا، هذا تذكير بموعد المقابلة غدًا على الساعة 10:00 صباحًا. بالتوفيق.,,,17
